age_group,gender,neighborhood,visit_frequency,parks_visited,purpose,travel_method,cleanliness_rating,safety_rating,accessibility,amenities_used,improvements,events_participated,event_experience,concerns,comments
35–44,Female,"Downtown East Village
",Monthly,Fish Creek Provincial Park,Social gatherings/Events,Other,4,3,"Very accessible.
",Other,"More accessible washrooms.
",Yes,"Enjoyable and informative.
","Crowds.
","No.
"
65+,Prefer not to say,"Beltline
",A few times a year,Nose Hill Park,Enjoying nature/Scenery,Walking,5,2,"Very accessible.
",Playgrounds,"More accessible washrooms.
",Yes,"Enjoyable and informative.
","Crowding.
","More accessible trails.
"
Under 18,Non-binary/Other,"Brentwood
",Weekly,Fish Creek Provincial Park,Picnicking/Relaxing,Other,1,5,"Very accessible.
",Restrooms,"More off-leash dog areas.
",Yes,"Enjoyable and informative.
","Crowds.
","More accessible trails.
"
25–34,Male,"Acadia
",Weekly,Nose Hill Park,Other,Walking,3,3,"Very accessible.
",Other,"More water fountains.
",Yes,"Enjoyable and informative.
","Crowding.
","More benches along trails.
"
45–54,Female,"Downtown Calgary
",Monthly,Fish Creek Provincial Park,Exercise/Walking/Running,Driving,2,2,"Very accessible.
",Sports fields/courts,"More accessible washrooms.
",Yes,"Enjoyable and informative.
","Crowds.
","More accessible trails.
"
55–64,Non-binary/Other,"Beltline
",A few times a year,Other,Social gatherings/Events,Driving,3,1,"Very accessible.
",Playgrounds,"More accessible washrooms.
",Yes,"Enjoyable and educational.
","Crowds.
","Better signage.
"
65+,Prefer not to say,"Acadia
",Monthly,Other,Exercise/Walking/Running,Other,3,5,"Very accessible.
",Playgrounds,"More off-leash dog areas.
",Yes,"Enjoyable and informative.
","Crowding.
","More accessible trails for people with mobility issues.
"
Under 18,Female,"Beltline
",A few times a year,Fish Creek Provincial Park,Picnicking/Relaxing,Driving,5,5,"Very accessible.
",Playgrounds,"More off-leash dog areas.
",Yes,"Enjoyable and informative.
","Crowds.
","More accessible trails.
"
25–34,Non-binary/Other,"Beltline
",Daily,Fish Creek Provincial Park,Dog walking,Driving,1,1,"Very accessible.
",Water fountains,"More off-leash dog areas.
",Yes,"Enjoyable and informative.
","Crowds.
","More accessible trails.
"
55–64,Prefer not to say,"Acadia
",Monthly,Fish Creek Provincial Park,Exercise/Walking/Running,Driving,1,4,"Very accessible.
",Playgrounds,"More shade.
",Yes,"Enjoyable and informative.
","Crowding.
","Improve accessibility for people with disabilities.
"
45–54,Prefer not to say,"Downtown East Village
",Rarely/Never,Confederation Park,Sports and recreational activities,Walking,1,2,"Very accessible.
",Community event spaces,"More off-leash dog areas.
",Yes,"Enjoyable and informative.
","Crowds.
","More staff during peak season.
"
18–24,Female,"Beltline
",Rarely/Never,Confederation Park,Social gatherings/Events,Driving,4,3,"Very accessible.
",Water fountains,"More off-leash dog areas.
",Yes,"Enjoyable and informative.
","Crowds.
","More garbage cans.
"
45–54,Non-binary/Other,"Beltline
",A few times a year,Confederation Park,Exercise/Walking/Running,Walking,5,2,"Somewhat accessible.
",Community event spaces,"More accessible washrooms.
",Yes,"Enjoyable and informative.
","Crowds.
","No.
"
18–24,Male,"Beltline
",Daily,Other,Sports and recreational activities,Other,2,4,"Very accessible.
",Other,"More water fountains.
",Yes,"Enjoyable and informative.
","Crowds.
","More accessible trails.
"
25–34,Non-binary/Other,"Beltline
",Monthly,Fish Creek Provincial Park,Exercise/Walking/Running,Walking,2,1,"Very accessible.
",Other,"More off-leash dog areas.
",Yes,"Enjoyable and informative.
","Crowds.
","More accessible trails.
"
18–24,Non-binary/Other,"Beltline
",Weekly,Other,Sports and recreational activities,Public transit,5,1,"Very accessible.
",Other,"More water fountains.
",Yes,"Enjoyable and informative.
","Crowds.
","More accessible facilities for people with disabilities.
"
18–24,Non-binary/Other,"Beltline
",A few times a year,Confederation Park,Enjoying nature/Scenery,Walking,2,1,"Very accessible.
",Water fountains,"More shaded areas.
",Yes,"Enjoyable and informative.
","Crowds.
","No.
"
